,freq,lot 021016 rep 1_0,lot 021016 rep 2_0
86,3915.7648602608,-0.0009760295911951597,-0.000990437502561126
87,3914.8006236540004,-0.0009753755834271815,-0.0009900914531338148
88,3913.8363870472,-0.000974404961766303,-0.000989560512709354
89,3912.8721504403998,-0.0009729022825520084,-0.0009887578579326538
90,3911.9079138334996,-0.0009708090035076956,-0.0009876774757324694
91,3910.9436772267,-0.0009682264909504723,-0.000986340976680187
92,3909.9794406199,-0.0009653346553047187,-0.0009848758179630392
93,3909.0152040131,-0.0009624222206371365,-0.000983386921382109
94,3908.0509674063,-0.0009597802455229576,-0.000981954203927423
95,3907.0867307995,-0.0009576238265427011,-0.0009805837167927687
96,3906.1224941927003,-0.0009561461025561692,-0.0009792587464942497
97,3905.1582575859,-0.000955407550525184,-0.0009778303010649213
98,3904.1940209790996,-0.0009554461884406483,-0.0009762040141947294
